Review Text,Sentiment,Feedback,Review Date,Hospital Name,Department,Reviewer Location,Reviewer Age Group,Rating
The treatment was effective/comprehensive/excellent.,Positive,1.0,2018-10-13,City Hospital,Orthopedics,Phoenix,18-25,5.0
The doctors were attentive/thorough/understanding and explained everything clearly/in detail.,Positive,1.0,2023-09-03,St. Mary's Clinic,Cardiology,New York,26-40,4.0
The staff was extremely helpful/very professional/polite and kind.,Positive,1.0,2022-11-30,St. Mary's Clinic,Emergency,New York,41-60,3.0
"The room was small/uncomfortable/poorly maintained, making it difficult to recover. The staff didn't seem to care about the conditions.",Negative,0.0,2020-07-25,Central Health Care,Pediatrics,Phoenix,18-25,1.0
The treatment was effective/comprehensive/excellent.,Positive,1.0,2019-09-04,Greenwood Medical Center,Pediatrics,Phoenix,26-40,2.0
"The doctors were highly experienced/skilled, and they answered all my questions with patience and professionalism.",Positive,1.0,2020-01-01,City Hospital,Neurology,,41-60,1.0
"The medical equipment seemed outdated/poorly maintained, which left me questioning the quality of care I was receiving.",Negative,0.0,2022-05-29,Greenwood Medical Center,Neurology,Chicago,41-60,4.0
"The medical equipment seemed outdated/poorly maintained, which left me questioning the quality of care I was receiving.",Negative,0.0,2018-03-27,St. Mary's Clinic,Cardiology,Phoenix,41-60,1.0
The billing department caused major issues with incorrect/confusing invoices that were difficult to resolve.,Negative,0.0,2018-05-22,Central Health Care,Neurology,Los Angeles,41-60,2.0
The staff was extremely helpful/very professional/polite and kind.,,1.0,2018-04-03,City Hospital,Emergency,Chicago,,3.0
Communication from the hospital staff was excellent. They were responsive/informative and kept me in the loop at all times.,Positive,1.0,2021-03-27,St. Mary's Clinic,Pediatrics,Houston,18-25,1.0
"The staff was extremely helpful/very professional/polite and kind. Overall, I would recommend this hospital to others.",Positive,1.0,2020-02-05,Central Health Care,Neurology,,18-25,4.0
The hygiene in the hospital was poor/lacking/below standard.,Negative,0.0,2018-06-02,City Hospital,Neurology,Phoenix,26-40,4.0
"My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless. However, I was frustrated by the long waiting time.",Positive,0.0,2018-05-04,St. Mary's Clinic,Cardiology,Houston,61+,2.0
"The nurses were incredibly attentive/supportive, ensuring I had everything I needed for a smooth recovery.",Positive,1.0,2020-04-16,City Hospital,Cardiology,Houston,26-40,
"I was misdiagnosed and given unnecessary treatments, causing me further complications. The care provided was inadequate.",Negative,0.0,2019-11-12,,Cardiology,Los Angeles,,1.0
The nurses were kind/supportive/professional throughout my stay.,Positive,1.0,2023-10-23,Central Health Care,Neurology,New York,61+,1.0
,Positive,1.0,2023-02-20,St. Mary's Clinic,,Chicago,41-60,4.0
The facilities were outdated/poorly maintained/unsanitary.,Negative,0.0,2023-03-05,St. Mary's Clinic,Orthopedics,Phoenix,61+,5.0
,Positive,1.0,2019-09-15,St. Mary's Clinic,Neurology,Houston,41-60,4.0
The facilities were outdated/poorly maintained/unsanitary.,Negative,0.0,2022-11-08,City Hospital,Neurology,Chicago,61+,5.0
The nurses were kind/supportive/professional throughout my stay.,Positive,1.0,2020-06-08,St. Mary's Clinic,Pediatrics,Los Angeles,18-25,5.0
I was impressed by the compassion/care/dedication of the staff.,Positive,1.0,2018-08-02,Central Health Care,Neurology,Los Angeles,26-40,1.0
"My experience was disappointing. I had to wait several hours/over a day before seeing a doctor, and the wait was unbearable.",Negative,0.0,2023-11-30,City Hospital,Emergency,,26-40,4.0
The hygiene in the hospital was poor/lacking/below standard.,Negative,0.0,2023-08-04,Central Health Care,Emergency,Chicago,41-60,1.0
,Positive,1.0,2022-06-10,Central Health Care,Cardiology,Phoenix,61+,
"I was misdiagnosed and given unnecessary treatments, causing me further complications. The care provided was inadequate.",Negative,0.0,2023-12-30,Greenwood Medical Center,,Chicago,18-25,2.0
I am very satisfied with the care/service I received here.,Positive,1.0,,St. Mary's Clinic,Neurology,Los Angeles,,2.0
My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless.,Positive,1.0,2021-12-08,St. Mary's Clinic,Emergency,Chicago,26-40,3.0
Communication from the hospital staff was excellent. They were responsive/informative and kept me in the loop at all times.,Positive,1.0,2019-05-17,Central Health Care,Emergency,,41-60,3.0
I felt very supported by the caring/compassionate doctors who took time to explain my treatment plan thoroughly.,Positive,1.0,2022-08-15,Greenwood Medical Center,Pediatrics,Houston,18-25,2.0
I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs.,Negative,0.0,2020-04-19,City Hospital,Orthopedics,Phoenix,18-25,3.0
I had an amazing/wonderful/great experience at this hospital.,Positive,1.0,2020-08-08,St. Mary's Clinic,Neurology,New York,26-40,1.0
I am very satisfied with the care/service I received here.,Positive,1.0,2020-04-06,St. Mary's Clinic,Orthopedics,Los Angeles,26-40,2.0
"I was misdiagnosed and given unnecessary treatments, causing me further complications. The care provided was inadequate.",Negative,0.0,2019-04-29,Greenwood Medical Center,Neurology,Houston,18-25,5.0
"The rooms were dirty/noisy/poorly maintained, making it hard to recover.",Negative,0.0,2022-07-08,City Hospital,Emergency,Houston,26-40,1.0
"The hospital’s hygiene was unacceptable. The restrooms were filthy, and I saw several areas of the hospital that were not clean.",Negative,0.0,2018-05-12,Central Health Care,,New York,41-60,1.0
"The billing process was confusing/stressful/unorganized, and it took too long.",Negative,0.0,2021-07-08,St. Mary's Clinic,Orthopedics,Los Angeles,61+,1.0
"The medical equipment seemed outdated/poorly maintained, which left me questioning the quality of care I was receiving.",Negative,0.0,2018-09-22,Central Health Care,Cardiology,Los Angeles,,5.0
"My experience was disappointing. I had to wait several hours/over a day before seeing a doctor, and the wait was unbearable.",Negative,0.0,2023-12-22,City Hospital,,Houston,61+,4.0
I am grateful for the exceptional follow-up care I received. The team was dedicated/attentive to ensuring I was doing well after my treatment.,Positive,1.0,2019-12-20,Greenwood Medical Center,Cardiology,Chicago,18-25,2.0
"My experience was disappointing. I had to wait several hours/over a day before seeing a doctor, and the wait was unbearable.",Negative,0.0,2021-07-01,City Hospital,Orthopedics,Los Angeles,18-25,5.0
The treatment was effective/comprehensive/excellent.,Positive,1.0,2020-04-14,Greenwood Medical Center,Pediatrics,Phoenix,18-25,5.0
"The nurses were incredibly attentive/supportive, ensuring I had everything I needed for a smooth recovery.",Positive,1.0,2022-04-02,Greenwood Medical Center,Neurology,Houston,61+,2.0
I had to wait for hours/a long time before being attended to.,Negative,0.0,2021-06-05,City Hospital,Neurology,Houston,61+,5.0
"The doctors were highly experienced/skilled, and they answered all my questions with patience and professionalism. However, I was frustrated by the long waiting time. Overall, I would recommend this hospital to others.",Positive,,2020-09-28,Greenwood Medical Center,Orthopedics,Los Angeles,26-40,1.0
I am grateful for the exceptional follow-up care I received. The team was dedicated/attentive to ensuring I was doing well after my treatment.,Positive,1.0,2022-10-24,Central Health Care,Pediatrics,New York,41-60,4.0
Satisfactory service.,Positive,1.0,2018-07-18,City Hospital,Neurology,Houston,26-40,5.0
"I had to wait several hours/a long time for a nurse to attend to my needs, which made me feel neglected.",Negative,0.0,,Central Health Care,Orthopedics,Chicago,18-25,3.0
"I had to wait for hours/a long time before being attended to. On the bright side, the nurses were kind and helpful.",Negative,1.0,2022-12-13,City Hospital,Cardiology,Chicago,61+,4.0
My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless.,Positive,1.0,2019-06-29,City Hospital,Neurology,Los Angeles,41-60,5.0
"The hospital charged unexpected fees/hidden costs, adding stress to my visit. On the bright side, the nurses were kind and helpful.",Negative,1.0,2023-07-10,Central Health Care,Emergency,Los Angeles,41-60,4.0
"The doctor did not take time to explain my condition, and I left feeling confused and uninformed about my treatment.",Negative,0.0,2023-01-30,St. Mary's Clinic,Orthopedics,Los Angeles,41-60,5.0
"The hospital’s hygiene was unacceptable. The restrooms were filthy, and I saw several areas of the hospital that were not clean.",Negative,0.0,2022-10-10,City Hospital,Orthopedics,Phoenix,61+,4.0
I am very satisfied with the care/service I received here.,Positive,1.0,2023-04-14,Greenwood Medical Center,Emergency,New York,26-40,4.0
"I had to wait several hours/a long time for a nurse to attend to my needs, which made me feel neglected.",Negative,,2021-04-09,City Hospital,Neurology,Chicago,,2.0
,Negative,0.0,2019-03-11,Greenwood Medical Center,Pediatrics,Los Angeles,61+,4.0
"The process was smooth/quick/efficient, and the staff made it hassle-free.",Positive,1.0,2022-06-22,St. Mary's Clinic,Orthopedics,Chicago,26-40,1.0
"The process was smooth/quick/efficient, and the staff made it hassle-free.",Positive,1.0,2022-05-30,Greenwood Medical Center,Neurology,Chicago,26-40,
"The hospital lacked organization, and communication between departments was poor. This led to delays and unnecessary stress.",Negative,0.0,2023-11-26,City Hospital,Pediatrics,Phoenix,26-40,2.0
"The process was smooth/quick/efficient, and the staff made it hassle-free.",Positive,1.0,2023-06-13,Central Health Care,Neurology,Houston,41-60,
,Positive,1.0,2020-11-05,Central Health Care,Neurology,,26-40,2.0
"The hospital’s hygiene was unacceptable. The restrooms were filthy, and I saw several areas of the hospital that were not clean. On the bright side, the nurses were kind and helpful.",Negative,1.0,2021-04-12,Greenwood Medical Center,Neurology,Phoenix,61+,5.0
"I was impressed by the compassion/care/dedication of the staff. Overall, I would recommend this hospital to others.",Positive,1.0,2023-09-06,City Hospital,Cardiology,,41-60,2.0
"My experience was disappointing. I had to wait several hours/over a day before seeing a doctor, and the wait was unbearable.",Negative,,2023-07-19,Central Health Care,Neurology,,61+,2.0
The staff was extremely helpful/very professional/polite and kind.,Positive,1.0,2020-12-22,St. Mary's Clinic,Orthopedics,Houston,18-25,2.0
I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs.,Negative,0.0,2021-02-16,St. Mary's Clinic,Emergency,Chicago,26-40,4.0
The billing department caused major issues with incorrect/confusing invoices that were difficult to resolve.,Negative,0.0,2021-05-27,Central Health Care,Orthopedics,Los Angeles,,4.0
"The hospital was state-of-the-art/modern/clean, which made my stay feel safe and comfortable.",Positive,1.0,2018-02-04,Greenwood Medical Center,Orthopedics,Houston,18-25,4.0
I felt very supported by the caring/compassionate doctors who took time to explain my treatment plan thoroughly.,Positive,1.0,2021-05-23,Greenwood Medical Center,Emergency,,18-25,2.0
"The hospital lacked organization, and communication between departments was poor. This led to delays and unnecessary stress.",Negative,0.0,2023-01-30,Greenwood Medical Center,Emergency,Los Angeles,61+,3.0
I had to wait for hours/a long time before being attended to.,Negative,0.0,2019-07-27,City Hospital,Pediatrics,New York,26-40,4.0
"The process was smooth/quick/efficient, and the staff made it hassle-free.",Positive,1.0,2022-03-14,Greenwood Medical Center,Neurology,Houston,18-25,2.0
The nurses were kind/supportive/professional throughout my stay.,Positive,1.0,2022-03-13,,Emergency,Houston,41-60,5.0
"I felt at ease with the welcoming/comfortable environment at the hospital, which made a challenging time much easier. However, I was frustrated by the long waiting time.",Positive,0.0,2022-02-07,Greenwood Medical Center,Neurology,Houston,26-40,2.0
"My experience was disappointing. I had to wait several hours/over a day before seeing a doctor, and the wait was unbearable.",Negative,0.0,2021-07-19,City Hospital,Cardiology,Los Angeles,61+,4.0
I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs.,Negative,0.0,,St. Mary's Clinic,Orthopedics,Houston,18-25,1.0
I am very satisfied with the care/service I received here.,Positive,1.0,2021-09-17,Central Health Care,Orthopedics,Chicago,26-40,
"The room was small/uncomfortable/poorly maintained, making it difficult to recover. The staff didn't seem to care about the conditions.",,0.0,2021-07-28,Central Health Care,Cardiology,Phoenix,61+,4.0
"The hospital staff was helpful/kind/professional, and they made sure I was comfortable during my entire stay.",Positive,1.0,2019-06-05,Greenwood Medical Center,Pediatrics,Phoenix,18-25,3.0
"I had to wait several hours/a long time for a nurse to attend to my needs, which made me feel neglected.",,0.0,2020-10-13,Greenwood Medical Center,Cardiology,,,3.0
The hospital staff were rude/unprofessional/unhelpful. I would not visit this hospital again due to the poor service.,Negative,0.0,2021-11-30,St. Mary's Clinic,Pediatrics,Los Angeles,26-40,2.0
"The room was small/uncomfortable/poorly maintained, making it difficult to recover. The staff didn't seem to care about the conditions.",Negative,0.0,2018-06-05,St. Mary's Clinic,Neurology,Chicago,41-60,3.0
The treatment was effective/comprehensive/excellent.,,1.0,2021-01-24,Greenwood Medical Center,,Phoenix,26-40,5.0
I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs.,Negative,0.0,2023-08-14,Greenwood Medical Center,,Chicago,26-40,4.0
"I had an amazing/wonderful/great experience at this hospital. However, I was frustrated by the long waiting time.",,0.0,2021-05-16,St. Mary's Clinic,Orthopedics,Los Angeles,41-60,1.0
Satisfactory service.,Positive,1.0,2022-02-08,Central Health Care,Emergency,Houston,61+,1.0
"The doctor did not take time to explain my condition, and I left feeling confused and uninformed about my treatment. I would not visit this hospital again due to the poor service.",Negative,0.0,2020-02-08,Greenwood Medical Center,Emergency,Houston,18-25,5.0
The hygiene in the hospital was poor/lacking/below standard.,Negative,0.0,2020-12-20,St. Mary's Clinic,Pediatrics,Phoenix,26-40,4.0
"I was misdiagnosed and given unnecessary treatments, causing me further complications. The care provided was inadequate. On the bright side, the nurses were kind and helpful.",Negative,1.0,2021-11-30,City Hospital,Pediatrics,Chicago,,4.0
My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless.,Positive,1.0,2022-12-22,City Hospital,Orthopedics,Houston,61+,5.0
The treatment was effective/comprehensive/excellent.,Positive,1.0,2019-03-10,St. Mary's Clinic,Neurology,Chicago,18-25,5.0
I felt very supported by the caring/compassionate doctors who took time to explain my treatment plan thoroughly.,Positive,1.0,2018-09-18,St. Mary's Clinic,Cardiology,New York,18-25,5.0
"The hospital’s hygiene was unacceptable. The restrooms were filthy, and I saw several areas of the hospital that were not clean.",Negative,0.0,2019-07-16,Central Health Care,,,61+,2.0
"I was misdiagnosed and given unnecessary treatments, causing me further complications. The care provided was inadequate.",Negative,0.0,2021-04-07,St. Mary's Clinic,Orthopedics,Phoenix,18-25,5.0
"The process was smooth/quick/efficient, and the staff made it hassle-free.",Positive,1.0,2021-10-02,St. Mary's Clinic,Neurology,Phoenix,61+,2.0
"The room was small/uncomfortable/poorly maintained, making it difficult to recover. The staff didn't seem to care about the conditions.",Negative,0.0,2020-10-25,St. Mary's Clinic,Neurology,Phoenix,18-25,3.0
"The hospital was state-of-the-art/modern/clean, which made my stay feel safe and comfortable.",Positive,,,Greenwood Medical Center,Emergency,Chicago,18-25,1.0
"I felt at ease with the welcoming/comfortable environment at the hospital, which made a challenging time much easier.",Positive,1.0,2020-06-16,St. Mary's Clinic,Cardiology,New York,61+,4.0
"The doctors were highly experienced/skilled, and they answered all my questions with patience and professionalism.",Positive,1.0,2018-01-30,Greenwood Medical Center,Cardiology,Chicago,18-25,3.0
"I was impressed by the compassion/care/dedication of the staff. However, I was frustrated by the long waiting time.",Positive,0.0,2019-09-11,City Hospital,Pediatrics,Los Angeles,61+,1.0
I am very satisfied with the care/service I received here.,Positive,1.0,2018-08-19,Greenwood Medical Center,Pediatrics,Los Angeles,61+,2.0
"The rooms were dirty/noisy/poorly maintained, making it hard to recover.",Negative,0.0,2021-01-25,Greenwood Medical Center,Cardiology,Chicago,61+,2.0
"The billing process was confusing/stressful/unorganized, and it took too long.",Negative,0.0,2022-01-17,City Hospital,Emergency,Los Angeles,26-40,3.0
"My experience was disappointing. I had to wait several hours/over a day before seeing a doctor, and the wait was unbearable. On the bright side, the nurses were kind and helpful.",Negative,1.0,2018-08-21,Greenwood Medical Center,Emergency,Chicago,41-60,5.0
"I felt at ease with the welcoming/comfortable environment at the hospital, which made a challenging time much easier.",Positive,,2022-06-20,Greenwood Medical Center,Emergency,,18-25,3.0
"The hospital lacked organization, and communication between departments was poor. This led to delays and unnecessary stress.",Negative,0.0,2021-01-03,St. Mary's Clinic,Neurology,New York,26-40,3.0
The staff was extremely helpful/very professional/polite and kind.,Positive,1.0,,City Hospital,Orthopedics,New York,26-40,4.0
Very disappointing.,Negative,0.0,2019-02-01,Central Health Care,Orthopedics,Phoenix,26-40,5.0
The hygiene in the hospital was poor/lacking/below standard.,Negative,0.0,2022-03-02,Central Health Care,Pediatrics,Houston,61+,4.0
The hospital has clean and modern facilities/excellent services.,Positive,1.0,2023-05-06,Central Health Care,Emergency,Houston,26-40,3.0
"The process was smooth/quick/efficient, and the staff made it hassle-free.",Positive,,2021-02-23,Greenwood Medical Center,Emergency,Phoenix,18-25,2.0
"The treatment felt rushed/inadequate/neglected, and I didn’t feel cared for.",Negative,0.0,2018-01-09,Greenwood Medical Center,Emergency,New York,18-25,
"The hospital was state-of-the-art/modern/clean, which made my stay feel safe and comfortable.",Positive,1.0,2021-04-18,Greenwood Medical Center,Pediatrics,Houston,41-60,4.0
"My experience was disappointing. I had to wait several hours/over a day before seeing a doctor, and the wait was unbearable.",Negative,0.0,2021-08-27,Greenwood Medical Center,Emergency,,18-25,1.0
I had to wait for hours/a long time before being attended to.,Negative,0.0,2019-05-17,Greenwood Medical Center,Pediatrics,Houston,41-60,4.0
The staff was extremely helpful/very professional/polite and kind.,Positive,1.0,2023-07-19,St. Mary's Clinic,Emergency,New York,18-25,1.0
The nurses were kind/supportive/professional throughout my stay.,Positive,1.0,2021-03-11,Central Health Care,Cardiology,Los Angeles,18-25,4.0
The hygiene in the hospital was poor/lacking/below standard.,Negative,0.0,2022-01-18,Greenwood Medical Center,Emergency,Houston,26-40,2.0
"The hospital staff was helpful/kind/professional, and they made sure I was comfortable during my entire stay. Overall, I would recommend this hospital to others.",Positive,1.0,2022-08-01,Greenwood Medical Center,Orthopedics,Phoenix,18-25,5.0
The staff seemed disinterested/unavailable/inattentive during my visit.,Negative,0.0,2022-10-08,St. Mary's Clinic,Orthopedics,Houston,18-25,3.0
I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs.,Negative,0.0,2020-08-15,City Hospital,Pediatrics,New York,26-40,1.0
I had to wait for hours/a long time before being attended to.,Negative,0.0,2021-05-19,St. Mary's Clinic,Emergency,Houston,18-25,1.0
"The billing process was confusing/stressful/unorganized, and it took too long.",Negative,0.0,2020-09-27,Greenwood Medical Center,Orthopedics,Los Angeles,61+,3.0
I had to wait for hours/a long time before being attended to.,,0.0,2020-05-10,St. Mary's Clinic,Emergency,New York,41-60,1.0
"The billing department caused major issues with incorrect/confusing invoices that were difficult to resolve. On the bright side, the nurses were kind and helpful. I would not visit this hospital again due to the poor service.",,1.0,2020-01-05,Greenwood Medical Center,Pediatrics,,26-40,5.0
The treatment was effective/comprehensive/excellent.,Positive,1.0,2023-08-02,Central Health Care,Pediatrics,,61+,5.0
Very disappointing.,Negative,0.0,2019-01-23,St. Mary's Clinic,Pediatrics,Los Angeles,,3.0
"The process was smooth/quick/efficient, and the staff made it hassle-free.",Positive,1.0,2020-07-10,Central Health Care,Pediatrics,Chicago,,3.0
I had an amazing/wonderful/great experience at this hospital.,Positive,1.0,,St. Mary's Clinic,Pediatrics,Los Angeles,18-25,1.0
The doctors were attentive/thorough/understanding and explained everything clearly/in detail.,Positive,1.0,2023-10-21,City Hospital,Cardiology,New York,18-25,1.0
Communication from the hospital staff was excellent. They were responsive/informative and kept me in the loop at all times.,Positive,1.0,2018-12-01,Greenwood Medical Center,Cardiology,Chicago,61+,1.0
"I had an amazing/wonderful/great experience at this hospital. Overall, I would recommend this hospital to others.",Positive,1.0,2019-05-10,St. Mary's Clinic,Emergency,Houston,41-60,2.0
The doctors were attentive/thorough/understanding and explained everything clearly/in detail.,Positive,1.0,2022-06-05,City Hospital,Neurology,,61+,3.0
"The hospital staff was helpful/kind/professional, and they made sure I was comfortable during my entire stay.",Positive,1.0,2018-01-17,Central Health Care,Orthopedics,Phoenix,18-25,2.0
"The hospital’s hygiene was unacceptable. The restrooms were filthy, and I saw several areas of the hospital that were not clean. I would not visit this hospital again due to the poor service.",Negative,0.0,2020-02-16,Central Health Care,Orthopedics,New York,18-25,4.0
The staff seemed disinterested/unavailable/inattentive during my visit.,Negative,0.0,2022-10-30,City Hospital,Emergency,Chicago,26-40,5.0
"I had an amazing/wonderful/great experience at this hospital. However, I was frustrated by the long waiting time.",Positive,0.0,2020-08-22,Central Health Care,Emergency,Phoenix,18-25,2.0
Very disappointing.,Negative,0.0,2018-01-19,Central Health Care,,Phoenix,26-40,4.0
The doctors were attentive/thorough/understanding and explained everything clearly/in detail.,Positive,1.0,2023-07-13,City Hospital,Orthopedics,Chicago,26-40,3.0
The facilities were outdated/poorly maintained/unsanitary.,Negative,0.0,2019-03-16,,Pediatrics,Phoenix,41-60,3.0
The staff seemed disinterested/unavailable/inattentive during my visit.,Negative,,2022-06-21,Greenwood Medical Center,Pediatrics,Phoenix,61+,3.0
I felt very supported by the caring/compassionate doctors who took time to explain my treatment plan thoroughly.,,1.0,2018-05-08,Central Health Care,Cardiology,Phoenix,41-60,2.0
My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless.,Positive,1.0,2018-06-14,Greenwood Medical Center,Orthopedics,Houston,26-40,2.0
